Ranking,Institution,Faculty Count,Average Citations,Country,Continent
368,University of Louisiana - Lafayette,22,3953.5,USA,North America
369,IIT Gandhinagar,11,3946.22,India,Asia
370,Aalborg University,43,3934.17,Denmark,Europe
371,University of Alabama - Birmingham,10,3867.8,USA,North America
372,University of Texas - El Paso,13,3852.64,USA,North America
373,TU Ilmenau,15,3842.45,Germany,Europe
374,University of Mississippi,4,3832.0,USA,North America
375,Xi'an Jiaotong University,36,3829.33,China,Asia
376,Jacobs University Bremen,6,3799.83,Germany,Europe
377,University of Rostock,17,3788.07,Germany,Europe
378,PUC-RIO,20,3777.6,Brazil,South America
379,Open University UK,42,3755.57,UK,Europe
380,University of Dundee,18,3753.45,UK,Europe
381,Naval Postgraduate School,23,3742.61,USA,North America
382,University of Tartu,39,3719.36,Estonia,Europe
383,Utrecht University,47,3710.64,Netherlands,Europe
384,City University of London,39,3687.67,UK,Europe
385,University of Pisa,64,3683.16,Italy,Europe
386,Royal Holloway University of London,41,3669.41,UK,Europe
387,University of Louisville,14,3658.5,USA,North America
388,Brandenburg University of Technology,13,3657.62,Germany,Europe
389,University of Koblenz-Landau,19,3648.27,Germany,Europe
390,Özyeğin University,13,3619.17,Turkey,Europe
391,IIT Bombay,41,3617.91,India,Asia
392,University of Salzburg,17,3605.29,Austria,Europe
393,University of Aberdeen,14,3604.73,UK,Europe
394,University College Dublin,52,3581.57,Ireland,Europe
395,IIIT Hyderabad,50,3580.07,India,Asia
396,University of Iowa,25,3560.0,USA,North America
397,Claremont Graduate University,6,3558.0,USA,North America
398,Kansas State University,17,3535.0,USA,North America
399,University of Halle-Wittenberg,9,3516.2,Germany,Europe
400,University of North Texas,27,3515.18,USA,North America
401,University of Sussex,25,3480.85,UK,Europe
402,Boise State University,20,3471.41,USA,North America
403,Aberystwyth University,19,3463.07,UK,Europe
404,National Tsing Hua University,42,3457.91,Taiwan,Asia
405,University of Ioannina,26,3450.32,Greece,Europe
406,University of Szeged,12,3438.18,Hungary,Europe
407,Concordia University,45,3432.63,Canada,North America
408,University of Missouri - Kansas City,17,3400.15,USA,North America
409,University of Piraeus,46,3394.88,Greece,Europe
410,Old Dominion University,15,3391.15,USA,North America
411,Masdar Institute,17,3384.24,UAE,Asia
412,Portland State University,19,3360.78,USA,North America
413,Cardiff University,58,3347.98,UK,Europe
414,University of Vermont,24,3338.7,USA,North America
415,IIT Kharagpur,44,3319.3,India,Asia
