Ranking,Institution,Average of Places From Four Metrics,Country,Continent
92,Univ. of California - Riverside,113.75,USA,North America
93,University of Massachusetts Amherst,114.0,USA,North America
94,University of Waikato,114.25,New Zealand,Australia
95,University of Amsterdam,117.0,Netherlands,Europe
96,Arizona State University,117.75,USA,North America
97,University of Queensland,118.25,Australia,Australia
98,University at Buffalo,118.5,USA,North America
99,VU Amsterdam,118.5,Netherlands,Europe
100,Ohio State University,118.75,USA,North America
101,University of Trento,119.0,Italy,Europe
102,Chinese Academy of Sciences,119.25,China,Asia
103,Peking University,119.75,China,Asia
104,University of Kent,121.0,UK,Europe
105,CWI,121.5,Netherlands,Europe
106,Northwestern University,124.75,USA,North America
107,TU Darmstadt,126.0,Germany,Europe
108,University of Tokyo,126.75,Japan,Asia
109,University of Virginia,128.5,USA,North America
110,Univ. of Maryland - Baltimore County,128.5,USA,North America
111,KU Leuven,128.5,Belgium,Europe
112,Monash University,129.25,Australia,Australia
113,University of Bremen,129.75,Germany,Europe
114,Politecnico di Milano,130.75,Italy,Europe
115,Univ. of California - Santa Cruz,130.75,USA,North America
116,Queen Mary University of London,131.0,UK,Europe
117,TTI Chicago,131.25,USA,North America
118,University of Adelaide,131.75,Australia,Australia
