Ranking,Institution,Faculty Count,Average h-index,Country,Continent
52,Michigan State University,38,41.26,USA,North America
53,University of Oxford,77,41.23,UK,Europe
54,TU Berlin,50,41.21,Germany,Europe
55,University of Luxembourg,22,41.08,Luxembourg,Europe
56,Georgia Institute of Technology,115,40.7,USA,North America
57,University of Leipzig,16,40.17,Germany,Europe
58,Rice University,33,40.16,USA,North America
59,Vanderbilt University,48,40.12,USA,North America
60,TU Darmstadt,31,39.96,Germany,Europe
61,MBZUAI,22,39.85,UAE,Asia
62,University of Hildesheim,3,39.67,Germany,Europe
63,USTC,30,39.45,China,Asia
64,Brown University,38,39.44,USA,North America
65,Sun Yat-sen University,15,39.4,China,Asia
66,University of Notre Dame,33,39.35,USA,North America
67,Duke University,59,39.27,USA,North America
68,Texas A&M at Qatar,12,39.25,Qatar,Asia
69,Washington University in St. Louis,30,39.17,USA,North America
70,Imperial College London,68,39.03,UK,Europe
71,Pennsylvania State University,65,38.96,USA,North America
72,Ecole Normale Superieure,32,38.96,France,Europe
73,University of Michigan,103,38.95,USA,North America
74,University of Zurich,18,38.93,Switzerland,Europe
75,University of Amsterdam,26,38.88,Netherlands,Europe
76,University of North Carolina,45,38.88,USA,North America
77,University of Alberta,56,38.85,Canada,North America
78,Tel Aviv University,51,38.83,Israel,Asia
79,University of Konstanz,14,38.69,Germany,Europe
80,Hebrew University of Jerusalem,49,38.67,Israel,Asia
81,University of Tübingen,40,38.63,Germany,Europe
82,University of Tennessee,45,38.62,USA,North America
83,Karlsruhe Institute of Technology,34,38.6,Germany,Europe
84,Ohio State University,42,38.5,USA,North America
85,Stony Brook University,64,38.49,USA,North America
86,Bielefeld University,13,38.22,Germany,Europe
87,Saarland University,34,38.22,Germany,Europe
88,University of Edinburgh,117,38.05,UK,Europe
89,Simula UiB,2,38.0,Norway,Europe
90,Georgetown University,22,38.0,USA,North America
91,Univ. of Maryland - Baltimore County,34,37.81,USA,North America
92,University of Trento,42,37.79,Italy,Europe
93,Queen Mary University of London,36,37.77,UK,Europe
94,University of Cambridge,54,37.65,UK,Europe
95,Bauhaus University Weimar,9,37.5,Germany,Europe
96,Univ. of California - Merced,22,37.5,USA,North America
97,Northeastern University,86,37.46,USA,North America
98,Hong Kong Baptist University,17,37.4,Hong Kong,Asia
99,University of Toronto,107,37.18,Canada,North America
100,CWI,32,37.13,Netherlands,Europe
101,University of Chicago,51,37.1,USA,North America
102,Rensselaer Polytechnic Institute,27,36.95,USA,North America
103,University of Manchester,39,36.89,UK,Europe
104,Bar-Ilan University,27,36.88,Israel,Asia
105,TU Braunschweig,14,36.85,Germany,Europe
106,Scuola Superiore Sant'Anna,5,36.8,Italy,Europe
107,Univ. of California - Davis,51,36.8,USA,North America
108,Tsinghua University,160,36.79,China,Asia
109,Technion,101,36.74,Israel,Asia
110,University of Marburg,9,36.67,Germany,Europe
111,University of Montreal,47,36.58,Canada,North America
112,University of Hong Kong,33,36.54,Hong Kong,Asia
113,University of Bonn,23,36.47,Germany,Europe
114,Ecole Normale Superieure de Cachan,25,36.22,France,Europe
115,University of Utah,72,36.14,USA,North America
116,Arizona State University,44,36.05,USA,North America
117,Northwestern University,50,35.98,USA,North America
118,Colorado State University,19,35.94,USA,North America
119,University of British Columbia,65,35.92,Canada,North America
